Date : 2023-04-10 10:20:01
Directory : d:\FIXXUP\Angular-FIXXP-\src\app
Total : 455 files,  64601 codes, 33381 comments, 8971 blanks, all 106953 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| view-ticket-workers-kyc-doc                                                                                    |          4 |         53 |          0 |         15 |         68 |
| view-worker-transactions                                                                                       |          4 |         27 |          0 |         11 |         38 |
| view-workers                                                                                                   |          4 |        373 |         10 |         72 |        455 |
| view-workers-kyc                                                                                               |          4 |         55 |          0 |         12 |         67 |
| viewaily-helper-doc                                                                                            |          4 |         27 |          0 |         11 |         38 |
| viewmanager                                                                                                    |          4 |        531 |         37 |         77 |        645 |
| viewuser                                                                                                       |          4 |        378 |         19 |         72 |        469 |
| visitors-category                                                                                              |          4 |        696 |      1,479 |         77 |      2,252 |
| visitors-image                                                                                                 |          4 |         51 |          0 |         20 |         71 |
| worker-transaction-history                                                                                     |          4 |        587 |        465 |        150 |      1,202 |
| worker-transaction-update                                                                                      |          4 |        824 |        438 |        136 |      1,398 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                       | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\FIXXUP\Angular-FIXXP-\src\app\Authguard\authentication.guard.spec.ts                                        | TypeScript |         12 |          0 |          5 |         17 |
| d:\FIXXUP\Angular-FIXXP-\src\app\Authguard\authentication.guard.ts                                             | TypeScript |         20 |          0 |          9 |         29 |
| d:\FIXXUP\Angular-FIXXP-\src\app\Authguard\authguard-services.service.spec.ts                                  | TypeScript |         12 |          0 |          5 |         17 |
| d:\FIXXUP\Angular-FIXXP-\src\app\Authguard\authguard-services.service.ts                                       | TypeScript |         10 |          0 |          3 |         13 |
| d:\FIXXUP\Angular-FIXXP-\src\app\Authguard\external-quard.guard.spec.ts                                        | TypeScript |         12 |          0 |          5 |         17 |
| d:\FIXXUP\Angular-FIXXP-\src\app\Authguard\external-quard.guard.ts                                             | TypeScript |         20 |          0 |          6 |         26 |
| d:\FIXXUP\Angular-FIXXP-\src\app\abs\abs.component.css                                                         | CSS        |          0 |          0 |          1 |          1 |
| d:\FIXXUP\Angular-FIXXP-\src\app\abs\abs.component.html                                                        | HTML       |         36 |          0 |          4 |         40 |
| d:\FIXXUP\Angular-FIXXP-\src\app\abs\abs.component.spec.ts                                                     | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\abs\abs.component.ts                                                          | TypeScript |        137 |          0 |         19 |        156 |
| d:\FIXXUP\Angular-FIXXP-\src\app\add-charges\add-charges.component.css                                         | CSS        |        475 |          2 |        120 |        597 |
| d:\FIXXUP\Angular-FIXXP-\src\app\add-charges\add-charges.component.html                                        | HTML       |        368 |         18 |         15 |        401 |
| d:\FIXXUP\Angular-FIXXP-\src\app\add-charges\add-charges.component.spec.ts                                     | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\add-charges\add-charges.component.ts                                          | TypeScript |        142 |          0 |         19 |        161 |
| d:\FIXXUP\Angular-FIXXP-\src\app\add-stamp-paper\add-stamp-paper.component.css                                 | CSS        |        475 |          2 |        121 |        598 |
| d:\FIXXUP\Angular-FIXXP-\src\app\add-stamp-paper\add-stamp-paper.component.html                                | HTML       |        314 |         12 |         16 |        342 |
| d:\FIXXUP\Angular-FIXXP-\src\app\add-stamp-paper\add-stamp-paper.component.spec.ts                             | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\add-stamp-paper\add-stamp-paper.component.ts                                  | TypeScript |        139 |          0 |         16 |        155 |
| d:\FIXXUP\Angular-FIXXP-\src\app\add-visitors-type\add-visitors-type.component.css                             | CSS        |        259 |          0 |         37 |        296 |
| d:\FIXXUP\Angular-FIXXP-\src\app\add-visitors-type\add-visitors-type.component.html                            | HTML       |        480 |         10 |         22 |        512 |
| d:\FIXXUP\Angular-FIXXP-\src\app\add-visitors-type\add-visitors-type.component.spec.ts                         | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\add-visitors-type\add-visitors-type.component.ts                              | TypeScript |        161 |          0 |         12 |        173 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addcity\addcity.component.css                                                 | CSS        |        258 |          0 |         37 |        295 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addcity\addcity.component.html                                                | HTML       |        489 |         10 |         22 |        521 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addcity\addcity.component.spec.ts                                             | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addcity\addcity.component.ts                                                  | TypeScript |        174 |          0 |         26 |        200 |
| d:\FIXXUP\Angular-FIXXP-\src\app\adddaily-helper-category\adddaily-helper-category.component.css               | CSS        |        259 |          0 |         37 |        296 |
| d:\FIXXUP\Angular-FIXXP-\src\app\adddaily-helper-category\adddaily-helper-category.component.html              | HTML       |        480 |         10 |         22 |        512 |
| d:\FIXXUP\Angular-FIXXP-\src\app\adddaily-helper-category\adddaily-helper-category.component.spec.ts           | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\adddaily-helper-category\adddaily-helper-category.component.ts                | TypeScript |        157 |          0 |         20 |        177 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addmanager\addmanager.component.css                                           | CSS        |        259 |          0 |         37 |        296 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addmanager\addmanager.component.html                                          | HTML       |        505 |         10 |         22 |        537 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addmanager\addmanager.component.spec.ts                                       | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addmanager\addmanager.component.ts                                            | TypeScript |        203 |          0 |         28 |        231 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addmanagerbankdetail\addmanagerbankdetail.component.css                       | CSS        |        414 |        519 |         95 |      1,028 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addmanagerbankdetail\addmanagerbankdetail.component.html                      | HTML       |        160 |        182 |         35 |        377 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addmanagerbankdetail\addmanagerbankdetail.component.spec.ts                   | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addmanagerbankdetail\addmanagerbankdetail.component.ts                        | TypeScript |        138 |          0 |         22 |        160 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addpincode\addpincode.component.css                                           | CSS        |        252 |          0 |         37 |        289 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addpincode\addpincode.component.html                                          | HTML       |        500 |         10 |         21 |        531 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addpincode\addpincode.component.spec.ts                                       | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addpincode\addpincode.component.ts                                            | TypeScript |        184 |          0 |         27 |        211 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addraised-complaint\addraised-complaint.component.css                         | CSS        |        258 |          0 |         37 |        295 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addraised-complaint\addraised-complaint.component.html                        | HTML       |        480 |         10 |         22 |        512 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addraised-complaint\addraised-complaint.component.spec.ts                     | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addraised-complaint\addraised-complaint.component.ts                          | TypeScript |        157 |          0 |         20 |        177 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addrole\addrole.component.css                                                 | CSS        |        258 |          0 |         37 |        295 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addrole\addrole.component.html                                                | HTML       |        479 |         14 |         21 |        514 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addrole\addrole.component.spec.ts                                             | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addrole\addrole.component.ts                                                  | TypeScript |        162 |          0 |         10 |        172 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addsociety\addsociety.component.css                                           | CSS        |        259 |          0 |         37 |        296 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addsociety\addsociety.component.html                                          | HTML       |        519 |         10 |         23 |        552 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addsociety\addsociety.component.spec.ts                                       | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addsociety\addsociety.component.ts                                            | TypeScript |        217 |          0 |         34 |        251 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addstate\addstate.component.css                                               | CSS        |        258 |          0 |         37 |        295 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addstate\addstate.component.html                                              | HTML       |        480 |         10 |         22 |        512 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addstate\addstate.component.spec.ts                                           | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addstate\addstate.component.ts                                                | TypeScript |        156 |          0 |         16 |        172 |
| d:\FIXXUP\Angular-FIXXP-\src\app\adduser\adduser.component.css                                                 | CSS        |        149 |          1 |          1 |        151 |
| d:\FIXXUP\Angular-FIXXP-\src\app\adduser\adduser.component.html                                                | HTML       |         82 |          2 |          0 |         84 |
| d:\FIXXUP\Angular-FIXXP-\src\app\adduser\adduser.component.spec.ts                                             | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\adduser\adduser.component.ts                                                  | TypeScript |          8 |          0 |          3 |         11 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addvisitor\addvisitor.component.css                                           | CSS        |        258 |          0 |         38 |        296 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addvisitor\addvisitor.component.html                                          | HTML       |        475 |         10 |         22 |        507 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addvisitor\addvisitor.component.spec.ts                                       | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\addvisitor\addvisitor.component.ts                                            | TypeScript |        162 |          0 |         16 |        178 |
| d:\FIXXUP\Angular-FIXXP-\src\app\admin-profile\admin-profile.component.css                                     | CSS        |        259 |          0 |         37 |        296 |
| d:\FIXXUP\Angular-FIXXP-\src\app\admin-profile\admin-profile.component.html                                    | HTML       |        491 |         10 |         23 |        524 |
| d:\FIXXUP\Angular-FIXXP-\src\app\admin-profile\admin-profile.component.spec.ts                                 | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\admin-profile\admin-profile.component.ts                                      | TypeScript |        167 |          0 |         30 |        197 |
| d:\FIXXUP\Angular-FIXXP-\src\app\adminlogin\adminlogin.component.css                                           | CSS        |        261 |          0 |         56 |        317 |
| d:\FIXXUP\Angular-FIXXP-\src\app\adminlogin\adminlogin.component.html                                          | HTML       |        203 |        107 |         10 |        320 |
| d:\FIXXUP\Angular-FIXXP-\src\app\adminlogin\adminlogin.component.spec.ts                                       | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\adminlogin\adminlogin.component.ts                                            | TypeScript |         52 |          1 |         10 |         63 |
| d:\FIXXUP\Angular-FIXXP-\src\app\agnys\agnys.component.css                                                     | CSS        |          6 |          0 |          2 |          8 |
| d:\FIXXUP\Angular-FIXXP-\src\app\agnys\agnys.component.html                                                    | HTML       |          0 |         18 |          0 |         18 |
| d:\FIXXUP\Angular-FIXXP-\src\app\agnys\agnys.component.spec.ts                                                 | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\agnys\agnys.component.ts                                                      | TypeScript |         14 |         28 |         20 |         62 |
| d:\FIXXUP\Angular-FIXXP-\src\app\agnys\models\society.model.ts                                                 | TypeScript |          7 |          0 |          2 |          9 |
| d:\FIXXUP\Angular-FIXXP-\src\app\all-admin\all-admin.component.css                                             | CSS        |        188 |        866 |         21 |      1,075 |
| d:\FIXXUP\Angular-FIXXP-\src\app\all-admin\all-admin.component.html                                            | HTML       |        592 |         11 |         19 |        622 |
| d:\FIXXUP\Angular-FIXXP-\src\app\all-admin\all-admin.component.spec.ts                                         | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\all-admin\all-admin.component.ts                                              | TypeScript |        153 |          0 |         12 |        165 |
| d:\FIXXUP\Angular-FIXXP-\src\app\all-charges\all-charges.component.css                                         | CSS        |        355 |        465 |         93 |        913 |
| d:\FIXXUP\Angular-FIXXP-\src\app\all-charges\all-charges.component.html                                        | HTML       |        393 |          0 |         16 |        409 |
| d:\FIXXUP\Angular-FIXXP-\src\app\all-charges\all-charges.component.spec.ts                                     | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\all-charges\all-charges.component.ts                                          | TypeScript |        133 |          0 |         12 |        145 |
| d:\FIXXUP\Angular-FIXXP-\src\app\all-users-kyc-docs\all-users-kyc-docs.component.css                           | CSS        |          0 |          0 |          1 |          1 |
| d:\FIXXUP\Angular-FIXXP-\src\app\all-users-kyc-docs\all-users-kyc-docs.component.html                          | HTML       |          1 |          0 |          1 |          2 |
| d:\FIXXUP\Angular-FIXXP-\src\app\all-users-kyc-docs\all-users-kyc-docs.component.spec.ts                       | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\all-users-kyc-docs\all-users-kyc-docs.component.ts                            | TypeScript |          8 |          0 |          3 |         11 |
| d:\FIXXUP\Angular-FIXXP-\src\app\all-users-kyc\all-users-kyc.component.css                                     | CSS        |        194 |          7 |         44 |        245 |
| d:\FIXXUP\Angular-FIXXP-\src\app\all-users-kyc\all-users-kyc.component.html                                    | HTML       |         44 |          0 |         16 |         60 |
| d:\FIXXUP\Angular-FIXXP-\src\app\all-users-kyc\all-users-kyc.component.spec.ts                                 | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\all-users-kyc\all-users-kyc.component.ts                                      | TypeScript |         39 |          0 |         14 |         53 |
| d:\FIXXUP\Angular-FIXXP-\src\app\all-visitors-type\all-visitors-type.component.css                             | CSS        |        171 |        866 |         16 |      1,053 |
| d:\FIXXUP\Angular-FIXXP-\src\app\all-visitors-type\all-visitors-type.component.html                            | HTML       |        546 |        611 |         33 |      1,190 |
| d:\FIXXUP\Angular-FIXXP-\src\app\all-visitors-type\all-visitors-type.component.spec.ts                         | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\all-visitors-type\all-visitors-type.component.ts                              | TypeScript |        158 |          0 |         18 |        176 |
| d:\FIXXUP\Angular-FIXXP-\src\app\all-worker-transaction\all-worker-transaction.component.css                   | CSS        |        187 |        878 |         24 |      1,089 |
| d:\FIXXUP\Angular-FIXXP-\src\app\all-worker-transaction\all-worker-transaction.component.html                  | HTML       |        567 |         17 |         36 |        620 |
| d:\FIXXUP\Angular-FIXXP-\src\app\all-worker-transaction\all-worker-transaction.component.spec.ts               | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\all-worker-transaction\all-worker-transaction.component.ts                    | TypeScript |        149 |          6 |         15 |        170 |
| d:\FIXXUP\Angular-FIXXP-\src\app\app-routing.module.ts                                                         | TypeScript |        657 |          4 |         21 |        682 |
| d:\FIXXUP\Angular-FIXXP-\src\app\app.component.css                                                             | CSS        |          0 |          0 |          1 |          1 |
| d:\FIXXUP\Angular-FIXXP-\src\app\app.component.html                                                            | HTML       |          1 |          0 |          1 |          2 |
| d:\FIXXUP\Angular-FIXXP-\src\app\app.component.spec.ts                                                         | TypeScript |         31 |          0 |          5 |         36 |
| d:\FIXXUP\Angular-FIXXP-\src\app\app.component.ts                                                              | TypeScript |         19 |          1 |          5 |         25 |
| d:\FIXXUP\Angular-FIXXP-\src\app\app.module.ts                                                                 | TypeScript |        288 |          0 |         15 |        303 |
| d:\FIXXUP\Angular-FIXXP-\src\app\block\block.component.css                                                     | CSS        |        171 |        866 |         16 |      1,053 |
| d:\FIXXUP\Angular-FIXXP-\src\app\block\block.component.html                                                    | HTML       |        515 |         22 |         40 |        577 |
| d:\FIXXUP\Angular-FIXXP-\src\app\block\block.component.spec.ts                                                 | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\block\block.component.ts                                                      | TypeScript |        157 |          0 |         18 |        175 |
| d:\FIXXUP\Angular-FIXXP-\src\app\changepassword\changepassword.component.css                                   | CSS        |        330 |          3 |         68 |        401 |
| d:\FIXXUP\Angular-FIXXP-\src\app\changepassword\changepassword.component.html                                  | HTML       |         44 |          0 |         10 |         54 |
| d:\FIXXUP\Angular-FIXXP-\src\app\changepassword\changepassword.component.spec.ts                               | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\changepassword\changepassword.component.ts                                    | TypeScript |         42 |          0 |          9 |         51 |
| d:\FIXXUP\Angular-FIXXP-\src\app\check-society-logo\check-society-logo.component.css                           | CSS        |          0 |          0 |          1 |          1 |
| d:\FIXXUP\Angular-FIXXP-\src\app\check-society-logo\check-society-logo.component.html                          | HTML       |          1 |          0 |          0 |          1 |
| d:\FIXXUP\Angular-FIXXP-\src\app\check-society-logo\check-society-logo.component.spec.ts                       | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\check-society-logo\check-society-logo.component.ts                            | TypeScript |         34 |          0 |         14 |         48 |
| d:\FIXXUP\Angular-FIXXP-\src\app\checkvisitorsimage\checkvisitorsimage.component.css                           | CSS        |          0 |          0 |          1 |          1 |
| d:\FIXXUP\Angular-FIXXP-\src\app\checkvisitorsimage\checkvisitorsimage.component.html                          | HTML       |          1 |          0 |          0 |          1 |
| d:\FIXXUP\Angular-FIXXP-\src\app\checkvisitorsimage\checkvisitorsimage.component.spec.ts                       | TypeScript |         18 |          0 |          6 |         24 |
| d:\FIXXUP\Angular-FIXXP-\src\app\checkvisitorsimage\checkvisitorsimage.component.ts                            | TypeScript |         34 |          0 |         15 |         49 |
